write_operation;dataset_size;versioning_mode;query_type;procedure_to_evaluate;Increment;Memory_in_MB;Time_in_Seconds;Memory_in_MB_instances
timestamped_update;big;q_perf;simple_query;re-cite_query;2;9.346986770629883;0.12322184100003142;9.346986770629883
timestamped_update;big;q_perf;simple_query;re-cite_query;3;9.346986770629883;0.26795199400021374;9.346986770629883
timestamped_update;big;q_perf;simple_query;re-cite_query;4;9.346986770629883;0.11910836799961544;9.346986770629883
timestamped_update;big;q_perf;simple_query;re-cite_query;5;9.346986770629883;0.31695356899990657;9.346986770629883
timestamped_update;big;q_perf;simple_query;re-cite_query;6;9.346986770629883;0.12080185300010271;9.346986770629883
timestamped_update;big;q_perf;simple_query;re-cite_query;7;9.346986770629883;0.24982797400025447;9.346986770629883
timestamped_update;big;q_perf;simple_query;re-cite_query;8;9.346986770629883;0.13057945400032622;9.346986770629883
timestamped_update;big;q_perf;simple_query;re-cite_query;9;9.346986770629883;0.2721977629998946;9.346986770629883
timestamped_update;big;q_perf;simple_query;re-cite_query;10;9.346986770629883;0.16812253599982796;9.346986770629883
timestamped_update;big;mem_sav;simple_query;re-cite_query;1;9.346986770629883;0.18414050100000168;9.346986770629883
timestamped_update;big;mem_sav;simple_query;re-cite_query;2;9.346986770629883;0.13075733300001957;9.346986770629883
timestamped_update;big;mem_sav;simple_query;re-cite_query;3;9.346986770629883;0.2178819000000658;9.346986770629883
timestamped_update;big;mem_sav;simple_query;re-cite_query;4;9.346986770629883;0.19800789600003554;9.346986770629883
timestamped_update;big;mem_sav;simple_query;re-cite_query;5;9.346986770629883;0.20571381899981134;9.346986770629883
timestamped_update;big;mem_sav;simple_query;re-cite_query;6;9.346986770629883;0.13499123899964616;9.346986770629883
timestamped_update;big;mem_sav;simple_query;re-cite_query;7;9.346986770629883;0.14277908999974898;9.346986770629883
timestamped_update;big;mem_sav;simple_query;re-cite_query;8;9.346986770629883;0.13581658900011462;9.346986770629883
timestamped_update;big;mem_sav;simple_query;re-cite_query;9;9.346986770629883;0.14048553800012087;9.346986770629883
timestamped_update;big;mem_sav;simple_query;re-cite_query;10;9.346986770629883;0.20146337999995012;9.346986770629883
timestamped_update;big;q_perf;complex_query;cite_query;1;9.346986770629883;0.4387503820003076;9.346986770629883
timestamped_update;big;q_perf;complex_query;cite_query;2;9.346986770629883;0.43768558900001153;9.346986770629883
timestamped_update;big;q_perf;complex_query;cite_query;3;9.346986770629883;0.4465907099997821;9.346986770629883
timestamped_update;big;q_perf;complex_query;cite_query;4;9.346986770629883;0.48551326699998754;9.346986770629883
timestamped_update;big;q_perf;complex_query;cite_query;5;9.346986770629883;0.6512331070002801;9.346986770629883
timestamped_update;big;q_perf;complex_query;cite_query;6;9.346986770629883;0.5143346329996348;9.346986770629883
timestamped_update;big;q_perf;complex_query;cite_query;7;9.346986770629883;0.4259967510001843;9.346986770629883
timestamped_update;big;q_perf;complex_query;cite_query;8;9.346986770629883;0.4310602230002587;9.346986770629883
timestamped_update;big;q_perf;complex_query;cite_query;9;9.346986770629883;0.4266026300001613;9.346986770629883
timestamped_update;big;q_perf;complex_query;cite_query;10;9.346986770629883;0.43314213899975584;9.346986770629883
timestamped_update;big;mem_sav;complex_query;cite_query;1;9.346986770629883;0.5219401190006465;9.346986770629883
timestamped_update;big;mem_sav;complex_query;cite_query;2;9.346986770629883;0.4434366310006226;9.346986770629883
timestamped_update;big;mem_sav;complex_query;cite_query;3;9.346986770629883;0.4822582240003612;9.346986770629883
